show_id,type,title,director,country,release_year,rating
s1,TV Show,3%,,Brazil,2020,TV-MA
s2,Movie,7:19,Jorge Michel Grau,Mexico,2016,TV-MA
s3,Movie,23:59,Gilbert Chan,Singapore,2011,R
s4,Movie,9,Shane Acker,United States,2009,PG-13
s5,Movie,21,Robert Luketic,United States,2008,PG-13
s6,TV Show,46,Serdar Akar,Turkey,2016,TV-MA
s7,Movie,122,Yasir Al Yasiri,Egypt,2019,TV-MA
s8,Movie,187,Kevin Reynolds,United States,1997,R
s9,Movie,706,Shravan Kumar,India,2019,TV-14
s10,Movie,1920,Vikram Bhatt,India,2008,TV-MA
s11,Movie,1922,Zak Hilditch,United States,2017,TV-MA
s12,TV Show,1983,,"Poland, United States",2018,TV-MA
s13,TV Show,1994,Diego Enrique Osorno,Mexico,2019,TV-MA
s14,Movie,"2,215",Nottapon Boonprakob,Thailand,2018,TV-MA
s15,Movie,3022,John Suits,United States,2019,R
s16,Movie,1-Oct,Kunle Afolayan,Nigeria,2014,TV-14
s17,TV Show,9-Feb,,,2018,TV-14
s18,Movie,22-Jul,Paul Greengrass,"Norway, Iceland, United States",2018,R
s19,Movie,15-Aug,Swapnaneel Jayakar,India,2019,TV-14
s20,Movie,'89,,United Kingdom,2017,TV-PG
s21,Movie,​​Kuch Bheege Alfaaz,Onir,India,2018,TV-14
s22,Movie,​Goli Soda 2,Vijay Milton,India,2018,TV-14
s23,Movie,​Maj Rati ​​Keteki,Santwana Bardoloi,India,2017,TV-14
s24,Movie,​Mayurakshi,Atanu Ghosh,India,2017,TV-14
s25,TV Show,​SAINT SEIYA: Knights of the Zodiac,,Japan,2020,TV-14
s26,Movie,(T)ERROR,"Lyric R. Cabral, David Felix Sutcliffe",United States,2015,NR
s27,TV Show,(Un)Well,,United States,2020,TV-MA
s28,Movie,#Alive,Cho Il,South Korea,2020,TV-MA
s29,Movie,#AnneFrank - Parallel Stories,"Sabina Fedeli, Anna Migotto",Italy,2019,TV-14
s30,TV Show,#blackAF,,United States,2020,TV-MA
s31,Movie,#cats_the_mewvie,Michael Margolis,Canada,2020,TV-14
s32,Movie,#FriendButMarried,Rako Prijanto,Indonesia,2018,TV-G
s33,Movie,#FriendButMarried 2,Rako Prijanto,Indonesia,2020,TV-G
s34,Movie,#realityhigh,Fernando Lebrija,United States,2017,TV-14
s35,Movie,#Roxy,Michael Kennedy,Canada,2018,TV-14
s36,Movie,#Rucker50,Robert McCullough Jr.,United States,2016,TV-PG
s37,Movie,#Selfie,Cristina Jacob,Romania,2014,TV-MA
s38,Movie,#Selfie 69,Cristina Jacob,Romania,2016,TV-MA
s39,TV Show,แผนร้ายนายเจ้าเล่ห์,,,2016,TV-14
s40,Movie,"¡Ay, mi madre!",Frank Ariza,Spain,2019,TV-MA
s41,Movie,Çarsi Pazar,Muharrem Gülmez,Turkey,2015,TV-14
s42,Movie,Ég man þig,Óskar Thór Axelsson,Iceland,2017,TV-MA
s43,Movie,Çok Filim Hareketler Bunlar,Ozan Açıktan,Turkey,2010,TV-MA
s44,Movie,Òlòtūré,Kenneth Gyang,Nigeria,2020,TV-MA
s45,Movie,Æon Flux,Karyn Kusama,United States,2005,PG-13
s46,TV Show,Şubat,,Turkey,2013,TV-MA
s47,Movie,1 Chance 2 Dance,Adam Deyoe,United States,2014,TV-PG
s48,Movie,1 Mile to You,Leif Tilden,United States,2017,TV-14
s49,Movie,10 Days in Sun City,Adze Ugah,"South Africa, Nigeria",2017,TV-14
s50,Movie,10 jours en or,Nicolas Brossette,France,2012,TV-14
s51,Movie,"10,000 B.C.",Roland Emmerich,"United States, South Africa",2008,PG-13
s52,TV Show,100 Days My Prince,,South Korea,2018,TV-14
s53,Movie,100 Days Of Solitude,,Spain,2018,TV-MA
s54,TV Show,100 Humans,,United States,2020,TV-14
s55,Movie,100 Meters,Marcel Barrena,"Portugal, Spain",2016,TV-MA
s56,Movie,100 Things to do Before High School,,United States,2014,TV-Y
s57,Movie,100 Years: One Woman's Fight for Justice,Melinda Janko,United States,2016,TV-14
s58,Movie,100% Halal,Jastis Arimba,Indonesia,2020,TV-14
s59,TV Show,100% Hotter,,United Kingdom,2017,TV-14
s60,Movie,1000 Rupee Note,Shrihari Sathe,India,2014,TV-14
s61,Movie,12 ROUND GUN,Sam Upton,United States,2017,TV-MA
s62,TV Show,12 Years Promise,,South Korea,2014,TV-14
s63,Movie,13 Cameras,Victor Zarcoff,United States,2015,NR
s64,TV Show,13 Reasons Why,,United States,2020,TV-MA
s65,TV Show,13 Reasons Why: Beyond the Reasons,,United States,2019,TV-MA
s66,Movie,13 Sins,Daniel Stamm,United States,2014,R
s67,Movie,13TH,Ava DuVernay,United States,2016,TV-MA
s68,Movie,13TH: A Conversation with Oprah Winfrey & Ava DuVernay,,,2017,
s69,Movie,14 Blades,Daniel Lee,"Hong Kong, China, Singapore",2010,R
s70,Movie,14 Cameras,"Scott Hussion, Seth Fuller",United States,2018,TV-MA
s71,Movie,14 Minutes from Earth,"Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm",United States,2016,TV-MA
s72,Movie,16 Blocks,Richard Donner,"United States, Germany",2006,PG-13
s73,Movie,17 Again,Burr Steers,United States,2009,PG-13
s74,Movie,18 Presents,Francesco Amato,Italy,2020,TV-MA
s75,Movie,1898: Our Last Men in the Philippines,Salvador Calvo,Spain,2016,R
s76,Movie,1BR,David Marmor,United States,2019,TV-MA
s77,Movie,1st Summoning,Raymond Wood,United States,2018,TV-MA
s78,Movie,2 Alone in Paris,"Ramzy Bedia, Éric Judor",France,2008,TV-MA
s79,Movie,2 States,Abhishek Varman,India,2014,TV-PG
s80,Movie,20 Feet From Stardom,Morgan Neville,United States,2013,PG-13
s81,TV Show,20 Minutes,,Turkey,2013,TV-MA
s82,Movie,2015 Dream Concert,,South Korea,2015,TV-PG
s83,Movie,2036 Origin Unknown,Hasraf Dulull,United Kingdom,2018,TV-14
s84,Movie,20th Century Women,Mike Mills,United States,2016,R
s85,Movie,21 & Over,"Jon Lucas, Scott Moore",United States,2013,R
s86,TV Show,21 Again,,United Kingdom,2019,TV-MA
s87,TV Show,21 Sarfarosh: Saragarhi 1897,,India,2018,TV-14
s88,TV Show,21 Thunder,,Canada,2017,TV-MA
s89,Movie,2307: Winter's Dream,Joey Curtis,United States,2016,TV-MA
s90,Movie,24 Hours to Live,Brian Smrz,"South Africa, China, United States",2017,R
s91,Movie,25 Kille,Simranjit Singh Hundal,India,2016,TV-14
s92,Movie,26 Years,Geun-hyun Cho,South Korea,2012,TV-MA
s93,Movie,"27, el club de los malditos",Nicanor Loreti,Argentina,2018,TV-MA
s94,Movie,27: Gone Too Soon,Simon Napier-Bell,United Kingdom,2017,TV-MA
s95,Movie,28 Days,Betty Thomas,United States,2000,PG-13
s96,TV Show,28 Moons,,South Korea,2016,TV-PG
s97,Movie,3 Days to Kill,McG,"United States, France, Serbia",2014,PG-13
s98,Movie,3 Deewarein,Nagesh Kukunoor,,2003,TV-MA
s99,Movie,3 Generations,Gaby Dellal,United States,2015,PG-13
s100,Movie,3 Heroines,Iman Brotoseno,Indonesia,2016,TV-PG
s101,Movie,3 Idiots,Rajkumar Hirani,India,2009,PG-13
s102,Movie,3 Seconds Divorce,Shazia Javed,Canada,2018,TV-PG
